#,receptor,ligand,centerx,centery,centerz,sizex,sizey,sizez
i,H1R_3RZE_H,ZINC00000023,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000053,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000053,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000056,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000056,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000061,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000061,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000083,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000083,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000095,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000095,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000018,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000018,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000036,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000036,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000056,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000056,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000061,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000061,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000083,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000083,14,34,23,18.409,18.441,18.476 
i,H1R_3RZE,ZINC00000070,14,34,23,18.409,18.441,18.476   
i,H1R_3RZE_H,ZINC00000070,14,34,23,18.409,18.441,18.476 
i,M2M_3UON,3D1,11,3,-8,18.409,18.441,18.476           
i,M2M_3UON_H,3D1,11,3,-8,18.409,18.441,18.476        
i,M2M_3UON,4DX,11,3,-8,18.409,18.441,18.4766           
i,M2M_3UON_H,4DX,11,3,-8,18.409,18.441,18.476         
i,M2M_3UON,ACT,11,3,-8,18.409,18.441,18.476           
i,M2M_3UON_H,ACT,11,3,-8,18.409,18.441,18.476         
i,M2M_3UON,ANP,11,3,-8,18.409,18.441,18.476           
i,M2M_3UON_H,ANP,11,3,-8,18.409,18.441,18.476         
i,M2M_3UON,DAO,11,3,-8,18.409,18.441,18.476           
i,M2M_3UON_H,DAO,11,3,-8,18.409,18.441,18.476         
i,M2M_3UON,DIH,11,3,-8,18.409,18.441,18.476           
i,M2M_3UON_H,DIH,11,3,-8,18.409,18.441,18.476         
i,M2M_3UON,MGT,11,3,-8,18.409,18.441,18.476           
i,M2M_3UON_H,MGT,11,3,-8,18.409,18.441,18.476         
i,M2M_3UON,N8M,11,3,-8,18.409,18.441,18.476           
i,M2M_3UON_H,N8M,11,3,-8,18.409,18.441,18.476         
i,M2M_3UON,NAD,11,3,-8,18.409,18.441,18.476           
i,M2M_3UON_H,NAD,11,3,-8,18.409,18.441,18.476         
i,M2M_3UON,T27,11,3,-8,18.409,18.441,18.476           
i,M2M_3UON_H,T27,11,3,-8,18.409,18.441,18.476         
i,M2M_3UON,ZINC00001506,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00001506,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00001592,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00001592,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00002171,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00002171,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00004579,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00004579,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00005256,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00005256,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00007580,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00007580,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000023,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000023,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000053,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000053,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000056,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000056,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000061,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000061,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000083,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000083,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000095,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000095,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000018,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000018,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000036,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000036,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000056,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000056,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000061,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000061,11,3,-8,18.409,18.441,18.476
i,M2M_3UON,ZINC00000083,11,3,-8,18.409,18.441,18.476  
i,M2M_3UON_H,ZINC00000083,11,3,-8,18.409,18.441,18.476
